observation_date,Monthly_CPI,Monthly_Inflation,Monthly_Rate,Bank Rate
1960-01-01,1.67898427363723,,,4
1960-02-01,1.67898427363723,1,0,4
1960-03-01,1.66441608038253,0.9913232104,-0.8676789583,4
1960-04-01,1.67898427363723,1.008752735,0.8752735224,4
1960-05-01,1.68991041857826,1.006507592,0.6507592187,4
1960-06-01,1.70447861187121,1.00862069,0.8620689673,4
1960-07-01,1.73361499838062,1.017094017,1.709401708,4
1960-08-01,1.73361499838062,1,0,4
1960-09-01,1.71904680512592,0.9915966387,-0.8403361339,4
1960-10-01,1.71904680512592,1,0,4
1960-11-01,1.70447861187121,0.9915254237,-0.8474576266,4
1960-12-01,1.70447861187121,1,0,4
1961-01-01,1.68991041857826,0.9914529914,-0.8547008564,4
1961-02-01,1.68991041857826,1,0,4
1961-03-01,1.70447861187121,1.00862069,0.8620689673,4
1961-04-01,1.70447861187121,1,0,4
1961-05-01,1.70447861187121,1,0,4
1961-06-01,1.71904680512592,1.008547009,0.8547008542,4
1961-07-01,1.74818319163532,1.016949153,1.694915253,4
1961-08-01,1.75910933661460,1.00625,0.6250000018,4
1961-09-01,1.75910933661460,1,0,4
1961-10-01,1.75910933661460,1,0,4
1961-11-01,1.75910933661460,1,0,4
1961-12-01,1.75910933661460,1,0,4
1962-01-01,1.74818319163532,0.9937888199,-0.6211180142,4
1962-02-01,1.74818319163532,1,0,4
1962-03-01,1.74818319163532,1,0,4
1962-04-01,1.75910933661460,1.00625,0.6250000018,4
1962-05-01,1.77367752986930,1.008281573,0.8281573494,4
1962-06-01,1.78824572312400,1.008213552,0.8213552356,4
1962-07-01,1.81374006131973,1.014256619,1.425661914,4
1962-08-01,1.82830825461269,1.008032129,0.803212853,4
1962-09-01,1.82830825461269,1,0,4
1962-10-01,1.84287644786739,1.007968127,0.7968127485,4
1962-11-01,1.82830825461269,0.9920948617,-0.7905138335,4
1962-12-01,1.80281391637871,0.9860557769,-1.394422312,4
1963-01-01,1.78824572312400,0.9919191919,-0.8080808076,4.5
1963-02-01,1.77367752986930,0.9918533605,-0.8146639506,4.5
1963-03-01,1.78824572312400,1.008213552,0.8213552356,4.5
1963-04-01,1.80281391637871,1.00814664,0.8146639506,4.5
1963-05-01,1.81374006131973,1.006060606,0.6060606057,4.5
1963-06-01,1.84287644786739,1.016064257,1.606425704,4.5
1963-07-01,1.85744464112209,1.007905138,0.7905138335,4.5
1963-08-01,1.87201283437679,1.007843137,0.784313725,4.5
1963-09-01,1.88293897935607,1.005836576,0.5836575892,4.5
1963-10-01,1.89750717261077,1.007736944,0.7736943902,4.5
1963-11-01,1.89750717261077,1,0,4.5
1963-12-01,1.92664355912018,1.015355086,1.535508636,4.5
1964-01-01,1.92664355912018,1,0,4.5
1964-02-01,1.95213789735416,1.013232514,1.323251419,4.5
1964-03-01,1.96670609060886,1.007462687,0.7462686562,4.5
1964-04-01,1.98127428386356,1.007407407,0.7407407403,4.5
1964-05-01,2.02133681535225,1.020220588,2.022058824,4.5
1964-06-01,2.06139934680268,1.01981982,1.981981981,4.5
1964-07-01,2.11967211985974,1.028268551,2.826855124,4.5
1964-08-01,2.14516645809372,1.012027491,1.202749142,4.5
1964-09-01,2.18522898958240,1.018675722,1.867572157,5
1964-10-01,2.24350176260121,1.026666667,2.666666665,5
1964-11-01,2.24350176260121,1,0,5
1964-12-01,2.25442790758049,1.00487013,0.4870129884,5
1965-01-01,2.26899610083519,1.006462036,0.6462035537,5
1965-02-01,2.22893356934651,0.9823434992,-1.765650081,6
1965-03-01,2.18522898958240,0.9803921569,-1.960784313,6
1965-04-01,2.19979718283711,1.006666667,0.6666666662,6
1965-05-01,2.21436537609181,1.006622517,0.6622516552,6
1965-06-01,2.24350176260121,1.013157895,1.315789473,6
1965-07-01,2.30905863232388,1.029220779,2.922077924,6
1965-08-01,2.33819501883328,1.012618297,1.261829652,6
1965-09-01,2.36733140534268,1.012461059,1.246105918,6
1965-10-01,2.36733140534268,1,0,6
1965-11-01,2.37825755032196,1.004615385,0.4615384629,6
1965-12-01,2.37825755032196,1,0,6
1966-01-01,2.37825755032196,1,0,6
1966-02-01,2.39282574357667,1.006125574,0.6125574269,6
1966-03-01,2.39282574357667,1,0,6
1966-04-01,2.40739393683137,1.00608828,0.6088280057,6
1966-05-01,2.48751899977048,1.033282905,3.328290469,6
1966-06-01,2.54579177282754,1.023426061,2.342606149,6
1966-07-01,2.58585430431623,1.015736767,1.573676682,6
1966-08-01,2.61134864251195,1.009859155,0.9859154923,6
1966-09-01,2.62591683580491,1.005578801,0.5578800569,6
1966-10-01,2.64048502905961,1.00554785,0.5547850205,6
1966-11-01,2.66962141556901,1.011034483,1.103448275,6
1966-12-01,2.70968394705770,1.015006821,1.500682129,6
1967-01-01,2.70968394705770,1,0,6
1967-02-01,2.72425214031240,1.005376344,0.5376344083,6
1967-03-01,2.74974647854638,1.009358289,0.9358288778,6
1967-04-01,2.77888286505579,1.010596026,1.059602648,6
1967-05-01,2.83351358979917,1.01965924,1.965923984,6
1967-06-01,2.90271250779726,1.024421594,2.442159383,6
1967-07-01,2.92820684603124,1.008782936,0.8782936018,6
1967-08-01,2.95734323254064,1.009950249,0.995024875,6
1967-09-01,2.94277503928594,0.9950738916,-0.4926108371,6
1967-10-01,2.98283757073637,1.013613861,1.361386138,6
1967-11-01,2.97191142579535,0.9963369963,-0.3663003661,6
